,1 Corinthians A,1 Corinthians B,1 Corinthians C,1 John,1 Peter,1 Timothy,2 Corinthians A,2 Corinthians B,Colossians,Ephesians,Galatians,Hebrews A,Hebrews B,James,Revelation A,Revelation B,Revelation C,Revelation D,Romans A,Romans B,Romans C,Barnabas A,Barnabas B,Barnabas C,Clement 1 Corinthians A,Clement 1 Corinthians B,Clement 1 Corinthians C,Clement 1 Corinthians D,Diognetus,Iranaeus Martyrdom Polycarp,Paul A,Ignatius A,Ignatius B,Ignatius C
1 Corinthians A,1.0000000000000004,0.2838062199747771,0.06187215982932501,0.09914685088195706,-0.0593308545540585,-0.07159692950424112,0.044272756869785476,0.0011108967254381866,0.10720043545689054,0.012327818529206596,0.12873621047473335,-0.18314753909374776,-0.30979171975513947,0.0816050766479035,-0.07158378024497984,-0.09424640370780181,-0.05356694085723543,-0.07971495933005672,0.0795787674584587,0.1260017700583314,-0.002424049614794113,-0.09550846949708199,-0.13077563326286246,-0.10689599932178623,-0.17656965336460162,-0.1750445321810914,-0.12081090365041658,-0.19846228542440744,-0.10308862336875044,-0.10194381724618615,0.05320817877049107,0.05585365084009804,0.06534931931292969,0.06869004119291629
1 Corinthians B,0.2838062199747771,0.9999999999999989,0.13924893793403928,0.06425633342311395,-0.0624197096420899,-0.003930398717331718,-0.009083543193579343,0.059622322627506,-0.06800943576062206,-0.06366059747008816,0.08016262359529887,-0.05208718577702675,-0.01270114969440586,0.03166405997101952,-0.057527010504372075,-0.13654555209736333,-0.07480889710389163,-0.15785684487189766,-0.06471173713172663,0.07662487566573344,0.06726743296266349,-0.009365763433851218,0.017171596910341754,-0.14340435142672092,-0.15524812200445473,-0.17285152405786058,-0.11587032177217706,-0.18749824939541723,-0.11812463550148952,-0.1333900788211949,0.040229056710961074,0.015959597511395272,-0.0002254217242580444,-0.01708325831923997
1 Corinthians C,0.06187215982932501,0.13924893793403928,0.9999999999999991,-0.05858331933747905,0.026604568321584462,0.005043142233652006,-0.051439835841965736,0.13191277004005997,-0.020870887215937533,-0.07816854304116364,0.09287113717647602,-0.09526585899349445,-0.10675394464219529,0.038808689372005774,-0.12089081652705988,-0.1321062332231395,-0.21034440090970397,-0.22641627595683556,-0.019917422577843562,0.02286002800146112,0.08662940610677099,-0.00502823599588539,-0.03459956691269514,-0.04329350927919651,-0.09159371475725132,-0.06920282736737382,-0.11043155047136707,-0.06979084025440267,0.009514264032864976,-0.1315498563876761,0.06732636312870438,0.059838725348406854,-0.008860214756916623,0.03388574142811608
1 John,0.09914685088195706,0.06425633342311395,-0.05858331933747905,0.9999999999999996,-0.1745818220035865,-0.11781360512229065,0.1103087081694,-0.03316890523480133,-0.007795857573600097,-0.028907511679748213,-0.01735701147462293,-0.04598545880976765,-0.08174087255375796,-0.08399198362775122,-0.022298960101936553,-0.07485187258882198,-0.032279214823914854,-0.03932399200524321,0.006193962380397012,0.1010975469051427,-0.03458777656212696,-0.057574695217544776,-0.12261996965470529,-0.04315253667433726,-0.15959331310210512,-0.0752074276337814,-0.10257577370878336,-0.13029339988934033,-0.04434096398982238,-0.08581354437348948,-0.005467766936875549,-0.04004214315626683,-0.049679505810178555,0.0037714846659505086
1 Peter,-0.0593308545540585,-0.0624197096420899,0.026604568321584462,-0.1745818220035865,1.0000000000000013,0.06450433959754712,0.0671980488862272,0.037678793634807875,0.03513951995747197,0.09160351294999881,-0.012292447096742593,-0.0984403400598532,0.016581526397003003,-0.024270018382696597,-0.19946595491708746,-0.19099204739213366,-0.1768656549312579,-0.1296449219280957,0.02504151566036952,-0.1013880567087923,0.014128957385083678,-0.0578713190566468,-0.03612140055979644,-0.10716131441404671,0.09043072211329695,-0.03808532873574702,-0.009534136437416043,0.03935124051988455,0.05125299637621273,0.032510212643485824,0.10676570417580977,0.03211232828570662,0.06175386593022992,-0.03641003587159292
1 Timothy,-0.07159692950424112,-0.003930398717331718,0.005043142233652006,-0.11781360512229065,0.06450433959754712,1.0000000000000013,-0.057549750567640834,-0.09649065900480205,-0.034486285041739284,-0.012750229389718083,-0.06291611727436223,0.026343923874066786,0.08977771549113076,-0.018944304793419395,-0.07445052248360043,0.002656772295267614,-0.08503506798663979,-0.10665508524638857,-0.012422141396690851,-0.20658554611452212,-0.0334831287299463,-0.07765746651926377,-0.0568848833294808,-0.02613998815829848,-0.011878943300218289,-0.07809418096728435,-0.04307628464884432,0.01833923390316069,0.10000924992967056,-0.012388683847036954,-0.01802348012548422,0.019257941059964985,-0.0012820000708518272,0.05021991793807684
2 Corinthians A,0.044272756869785476,-0.009083543193579343,-0.051439835841965736,0.1103087081694,0.0671980488862272,-0.057549750567640834,1.0000000000000009,0.19169207040365902,0.04104823012833486,0.11295965322564953,-0.024064545528729272,-0.14990248815493357,-0.0722369075583748,-0.10914693314839047,-0.19056112664233998,-0.23309380092056994,-0.2141551635898018,-0.2158372560791854,0.12483512654651344,0.19364155153875928,0.0035764188858311407,-0.039247119182074984,-0.12346739077324317,-0.05829533538077556,-0.08807971418007425,-0.13115727238195202,-0.05273831710129117,0.009194495360674858,-0.03624943790012287,-0.04259556771343911,0.1953711308884808,0.09018039168906784,-0.05159268874916725,0.0024097068594651967
2 Corinthians B,0.0011108967254381866,0.059622322627506,0.13191277004005997,-0.03316890523480133,0.037678793634807875,-0.09649065900480205,0.19169207040365902,1.0000000000000007,0.11995857694956187,0.12390449279720177,0.10225203203094425,-0.09494154482541049,-0.0029020004685668737,0.05007575974252521,-0.2257313945434606,-0.270620432069079,-0.2766251635724737,-0.27195970494054755,0.027643531485644933,0.04116382007031448,0.19610091119707568,-0.053848275935554135,-0.11806903859983513,-0.14456245998424452,-0.054513740549712995,-0.09967965739394985,-0.05345333479309301,0.004180107584218995,-0.04546353201423125,-0.1569327207038884,0.2865832339363864,0.04978918961716547,0.02893786563517838,0.012028015613130306
Colossians,0.10720043545689054,-0.06800943576062206,-0.020870887215937533,-0.007795857573600097,0.03513951995747197,-0.034486285041739284,0.04104823012833486,0.11995857694956187,1.000000000000001,0.4666852861256168,-0.06717154870832151,-0.08256508718999261,-0.12592792999096325,0.03508270145562625,-0.13120684672841454,-0.1308547810908968,-0.09105610766160004,-0.15144252453808132,0.03122309802093909,-0.00017453615578255058,0.06582818931019692,-0.11718961899071058,-0.16698291771029392,-0.06544167775254081,-0.06747440228865113,-0.12600968310895394,-0.07891868686877437,-0.0867681514210156,-0.011292153418838217,-0.10464495423498252,0.10347943032344498,0.11856490894362136,0.09303286099175866,-0.005904676746452588
Ephesians,0.012327818529206596,-0.06366059747008816,-0.07816854304116364,-0.028907511679748213,0.09160351294999881,-0.012750229389718083,0.11295965322564953,0.12390449279720177,0.4666852861256168,0.9999999999999983,-0.07894923232541314,-0.10088688411979503,-0.13448990044190556,-0.1562348386479197,-0.12687611535003,-0.0373145777327572,-0.03423899176739706,-0.08304289269360138,0.07210690235233592,-0.010958687093615017,0.08591239244909457,-0.12970429249819615,-0.1487743551039313,-0.08031977432059455,-0.1007163137620941,-0.11465650388480926,-0.03189389370546573,-0.011063845739468652,-0.11385923434612644,-0.07758888196244282,0.13453915104750716,0.05076657906356476,0.05095292503087632,-0.009362092980045457
Galatians,0.12873621047473335,0.08016262359529887,0.09287113717647602,-0.01735701147462293,-0.012292447096742593,-0.06291611727436223,-0.024064545528729272,0.10225203203094425,-0.06717154870832151,-0.07894923232541314,1.000000000000001,-0.03608066902796595,-0.037356652767363545,0.08355959679444348,-0.13988693737479527,-0.13630188313664235,-0.14561263376348998,-0.1339947237250152,0.2384906715451484,0.25720535726727933,0.0919143436926152,-0.11547917509381785,-0.025382973899560225,-0.0662978692026688,-0.042779816687760014,-0.07844717958249173,-0.11433368457133142,-0.1863339833506074,-0.15795956358213933,-0.13201876597721404,0.07682782928063214,-0.08072392779769919,-0.02580474585426579,0.013640319391184602
Hebrews A,-0.18314753909374776,-0.05208718577702675,-0.09526585899349445,-0.04598545880976765,-0.0984403400598532,0.026343923874066786,-0.14990248815493357,-0.09494154482541049,-0.08256508718999261,-0.10088688411979503,-0.03608066902796595,1.0000000000000022,0.39554796798443626,-0.0009784338192100053,-0.03170035410939906,-0.006197342056404191,-0.015653153507056247,-0.04433659101904198,0.0020837524442911953,-0.03626633798118681,-0.08215637881552428,0.05317978642337055,0.041797357508534465,0.08879541834112173,0.014730324315733647,0.04504939517071745,0.07283639290004953,0.030922946889331684,-0.04057836947081773,0.013870253877832254,-0.20203150166884462,-0.1382462694775721,-0.1259348160896662,-0.09329631964022388
Hebrews B,-0.30979171975513947,-0.01270114969440586,-0.10675394464219529,-0.08174087255375796,0.016581526397003003,0.08977771549113076,-0.0722369075583748,-0.0029020004685668737,-0.12592792999096325,-0.13448990044190556,-0.037356652767363545,0.39554796798443626,1.0000000000000004,-0.024020789047160623,-0.10262392934507755,-0.049410022180986245,-0.09124897747446004,-0.09179412807603968,-0.05463509989411237,-0.10115847505985467,-0.12496559906908762,0.0007071306405197354,0.039497395753903895,0.08052202440710217,0.10738301574840431,0.06803057262284203,0.019780421218201838,0.025245277395731933,0.03990515508649742,0.04460588999015797,-0.068379965457135,-0.06935290708198341,-0.09501864841183429,-0.016845860274573916
James,0.0816050766479035,0.03166405997101952,0.038808689372005774,-0.08399198362775122,-0.024270018382696597,-0.018944304793419395,-0.10914693314839047,0.05007575974252521,0.03508270145562625,-0.1562348386479197,0.08355959679444348,-0.0009784338192100053,-0.024020789047160623,1.0000000000000007,-0.08279931647758854,-0.059930444524759104,-0.11262891186895953,-0.0421123155082585,0.04609819819450645,-0.012021968398001551,0.03656030405481548,-0.07010945377863834,-0.04287496021813892,-0.015346887962148491,0.023649354462635438,0.025181098420802944,-0.04385022182645884,-0.07082867712327381,-0.010175564137757177,-0.060655078850853916,0.047344479023067154,-0.09651115291977166,-0.059938044553443016,-0.14415326198521644
Revelation A,-0.07158378024497984,-0.057527010504372075,-0.12089081652705988,-0.022298960101936553,-0.19946595491708746,-0.07445052248360043,-0.19056112664233998,-0.2257313945434606,-0.13120684672841454,-0.12687611535003,-0.13988693737479527,-0.03170035410939906,-0.10262392934507755,-0.08279931647758854,1.0,0.3729258796571744,0.3317588452053585,0.41919937254917716,-0.168222744360005,-0.11046853051895432,-0.09290357844947879,-0.04418293680243024,0.05242285164988943,0.005374319601277207,-0.08872856026600637,0.012531605606134132,-0.00990244622968055,-0.07913093408075861,-0.09179813073063826,0.05129972121015208,-0.16508561084948015,-0.17572080305267906,-0.12806746948427136,-0.15584036996800515
Revelation B,-0.09424640370780181,-0.13654555209736333,-0.1321062332231395,-0.07485187258882198,-0.19099204739213366,0.002656772295267614,-0.23309380092056994,-0.270620432069079,-0.1308547810908968,-0.0373145777327572,-0.13630188313664235,-0.006197342056404191,-0.049410022180986245,-0.059930444524759104,0.3729258796571744,1.0000000000000013,0.5069877366311831,0.46338048855926744,-0.1315865912925218,-0.19412963433948552,-0.12263987233146104,-0.0673435355488984,0.05054772597808636,0.018963276516677383,0.008759565585546688,-0.003274533989075453,0.01304346388825597,-0.07847763962697633,-0.048941026345429614,0.04608836498573731,-0.20694156751910353,-0.3050195274479915,-0.16220281621028443,-0.21942915214150477
Revelation C,-0.05356694085723543,-0.07480889710389163,-0.21034440090970397,-0.032279214823914854,-0.1768656549312579,-0.08503506798663979,-0.2141551635898018,-0.2766251635724737,-0.09105610766160004,-0.03423899176739706,-0.14561263376348998,-0.015653153507056247,-0.09124897747446004,-0.11262891186895953,0.3317588452053585,0.5069877366311831,1.0000000000000024,0.41363441781799715,-0.10589110394651309,-0.1287921013377035,-0.10046414766476093,-0.06364071229859006,0.035232982781818356,-0.009917144135647961,0.033046573579588054,0.04478281014571993,-0.07247237443869381,-0.014173069967549105,-0.06045700683572643,0.029371806597765508,-0.2744998264428057,-0.2557248057231541,-0.08569133445666592,-0.19299974581960166
Revelation D,-0.07971495933005672,-0.15785684487189766,-0.22641627595683556,-0.03932399200524321,-0.1296449219280957,-0.10665508524638857,-0.2158372560791854,-0.27195970494054755,-0.15144252453808132,-0.08304289269360138,-0.1339947237250152,-0.04433659101904198,-0.09179412807603968,-0.0421123155082585,0.41919937254917716,0.46338048855926744,0.41363441781799715,1.0000000000000022,-0.1526259723417653,-0.12977959779756848,-0.1533536091894425,-0.011849201659942247,0.07796515414094572,-0.012575195016840925,-0.013065628116218718,0.06693316216386297,-0.024500799304472527,-0.13040888308330115,-0.029371843314633314,0.11504007907161559,-0.13740907042445813,-0.23062278280820153,-0.16302600343748674,-0.22861374356517242
Romans A,0.0795787674584587,-0.06471173713172663,-0.019917422577843562,0.006193962380397012,0.02504151566036952,-0.012422141396690851,0.12483512654651344,0.027643531485644933,0.03122309802093909,0.07210690235233592,0.2384906715451484,0.0020837524442911953,-0.05463509989411237,0.04609819819450645,-0.168222744360005,-0.1315865912925218,-0.10589110394651309,-0.1526259723417653,0.9999999999999989,0.21949017748721775,-0.011208106115192447,-0.12787308395040617,-0.11940112880063321,-0.031710009003173584,-0.08264445838480111,-0.04275062101802209,-0.06918359884518206,-0.02982806282137121,-0.01656933973958742,-0.14325375390461462,-0.07029222823986009,-0.043774200809861954,-0.06801162772101288,-0.02584677684408293
Romans B,0.1260017700583314,0.07662487566573344,0.02286002800146112,0.1010975469051427,-0.1013880567087923,-0.20658554611452212,0.19364155153875928,0.04116382007031448,-0.00017453615578255058,-0.010958687093615017,0.25720535726727933,-0.03626633798118681,-0.10115847505985467,-0.012021968398001551,-0.11046853051895432,-0.19412963433948552,-0.1287921013377035,-0.12977959779756848,0.21949017748721775,0.9999999999999999,0.022352899546270157,-0.028666800272417976,-0.05691336107059093,-0.04333620666680306,-0.03794659740079769,-0.09117949592903614,-0.09776721482201577,-0.10195573216067366,-0.13759476468242363,-0.14706004687613614,-0.014830188574742748,-0.07084968509723047,-0.031226397417225424,-0.019734215840416906
Romans C,-0.002424049614794113,0.06726743296266349,0.08662940610677099,-0.03458777656212696,0.014128957385083678,-0.0334831287299463,0.0035764188858311407,0.19610091119707568,0.06582818931019692,0.08591239244909457,0.0919143436926152,-0.08215637881552428,-0.12496559906908762,0.03656030405481548,-0.09290357844947879,-0.12263987233146104,-0.10046414766476093,-0.1533536091894425,-0.011208106115192447,0.022352899546270157,0.9999999999999986,-0.048173834990456604,-0.1181470909053233,-0.09311947416524687,-0.08701561751416603,-0.10536749744333815,-0.04904388424859358,0.000685738416628215,-0.07167320642397401,-0.14833789222785398,0.1523702156282594,-0.011010732857624305,-0.020372802604629606,-0.012973238214388064
Barnabas A,-0.09550846949708199,-0.009365763433851218,-0.00502823599588539,-0.057574695217544776,-0.0578713190566468,-0.07765746651926377,-0.039247119182074984,-0.053848275935554135,-0.11718961899071058,-0.12970429249819615,-0.11547917509381785,0.05317978642337055,0.0007071306405197354,-0.07010945377863834,-0.04418293680243024,-0.0673435355488984,-0.06364071229859006,-0.011849201659942247,-0.12787308395040617,-0.028666800272417976,-0.048173834990456604,1.0,0.15683165775985064,0.20269322570875495,0.012539336770468739,0.06068572138269415,0.03185804319452414,0.06157871318675044,-0.08091715882895631,0.0005613953340527036,-0.052312086812890055,-0.07870293937661414,-0.1443054115267919,-0.11859083313784442
Barnabas B,-0.13077563326286246,0.017171596910341754,-0.03459956691269514,-0.12261996965470529,-0.03612140055979644,-0.0568848833294808,-0.12346739077324317,-0.11806903859983513,-0.16698291771029392,-0.1487743551039313,-0.025382973899560225,0.041797357508534465,0.039497395753903895,-0.04287496021813892,0.05242285164988943,0.05054772597808636,0.035232982781818356,0.07796515414094572,-0.11940112880063321,-0.05691336107059093,-0.1181470909053233,0.15683165775985064,1.000000000000002,0.15978563287416453,0.04685867995940443,-0.03822018876547852,-0.04174097766203001,-0.09320314410187042,0.023979745314916038,-0.0031572120544506995,-0.16074908190196852,-0.13875244281146706,-0.08803447717393108,-0.0972604177082108
Barnabas C,-0.10689599932178623,-0.14340435142672092,-0.04329350927919651,-0.04315253667433726,-0.10716131441404671,-0.02613998815829848,-0.05829533538077556,-0.14456245998424452,-0.06544167775254081,-0.08031977432059455,-0.0662978692026688,0.08879541834112173,0.08052202440710217,-0.015346887962148491,0.005374319601277207,0.018963276516677383,-0.009917144135647961,-0.012575195016840925,-0.031710009003173584,-0.04333620666680306,-0.09311947416524687,0.20269322570875495,0.15978563287416453,0.9999999999999997,0.020060387600911254,0.05574197771338835,-0.02657608675792676,0.01432377668022545,-0.06942676371115289,0.006084475235592433,-0.14595470553193898,-0.1252126553020251,-0.20045854516019382,-0.15018351031427588
Clement 1 Corinthians A,-0.17656965336460162,-0.15524812200445473,-0.09159371475725132,-0.15959331310210512,0.09043072211329695,-0.011878943300218289,-0.08807971418007425,-0.054513740549712995,-0.06747440228865113,-0.1007163137620941,-0.042779816687760014,0.014730324315733647,0.10738301574840431,0.023649354462635438,-0.08872856026600637,0.008759565585546688,0.033046573579588054,-0.013065628116218718,-0.08264445838480111,-0.03794659740079769,-0.08701561751416603,0.012539336770468739,0.04685867995940443,0.020060387600911254,1.0000000000000009,0.16407815806303785,0.13102420911019846,0.146614043324634,-0.04070164555158775,-0.005795156130195494,-0.14397667916160817,-0.14450452001747166,-0.08435588182915789,-0.11636187644675275
Clement 1 Corinthians B,-0.1750445321810914,-0.17285152405786058,-0.06920282736737382,-0.0752074276337814,-0.03808532873574702,-0.07809418096728435,-0.13115727238195202,-0.09967965739394985,-0.12600968310895394,-0.11465650388480926,-0.07844717958249173,0.04504939517071745,0.06803057262284203,0.025181098420802944,0.012531605606134132,-0.003274533989075453,0.04478281014571993,0.06693316216386297,-0.04275062101802209,-0.09117949592903614,-0.10536749744333815,0.06068572138269415,-0.03822018876547852,0.05574197771338835,0.16407815806303785,0.9999999999999997,0.08777618630045897,0.1677520606524903,0.05250941907245005,0.030786398508666237,-0.13597781422466512,-0.09259971230780427,-0.13043926983392376,-0.16741706037486934
Clement 1 Corinthians C,-0.12081090365041658,-0.11587032177217706,-0.11043155047136707,-0.10257577370878336,-0.009534136437416043,-0.04307628464884432,-0.05273831710129117,-0.05345333479309301,-0.07891868686877437,-0.03189389370546573,-0.11433368457133142,0.07283639290004953,0.019780421218201838,-0.04385022182645884,-0.00990244622968055,0.01304346388825597,-0.07247237443869381,-0.024500799304472527,-0.06918359884518206,-0.09776721482201577,-0.04904388424859358,0.03185804319452414,-0.04174097766203001,-0.02657608675792676,0.13102420911019846,0.08777618630045897,0.9999999999999997,0.07436606401774645,-0.03827959076852236,0.07937927001756952,-0.14228968988162408,-0.04010085373379508,-0.08704993490705955,-0.056952644842879596
Clement 1 Corinthians D,-0.19846228542440744,-0.18749824939541723,-0.06979084025440267,-0.13029339988934033,0.03935124051988455,0.01833923390316069,0.009194495360674858,0.004180107584218995,-0.0867681514210156,-0.011063845739468652,-0.1863339833506074,0.030922946889331684,0.025245277395731933,-0.07082867712327381,-0.07913093408075861,-0.07847763962697633,-0.014173069967549105,-0.13040888308330115,-0.02982806282137121,-0.10195573216067366,0.000685738416628215,0.06157871318675044,-0.09320314410187042,0.01432377668022545,0.146614043324634,0.1677520606524903,0.07436606401774645,1.0000000000000007,0.018022852511679625,0.022730205314144904,-0.022866520812688685,0.004986034479253517,-0.03299561417705996,-0.048340730055635606
Diognetus,-0.10308862336875044,-0.11812463550148952,0.009514264032864976,-0.04434096398982238,0.05125299637621273,0.10000924992967056,-0.03624943790012287,-0.04546353201423125,-0.011292153418838217,-0.11385923434612644,-0.15795956358213933,-0.04057836947081773,0.03990515508649742,-0.010175564137757177,-0.09179813073063826,-0.048941026345429614,-0.06045700683572643,-0.029371843314633314,-0.01656933973958742,-0.13759476468242363,-0.07167320642397401,-0.08091715882895631,0.023979745314916038,-0.06942676371115289,-0.04070164555158775,0.05250941907245005,-0.03827959076852236,0.018022852511679625,0.9999999999999998,0.06613193363155832,-0.10648221396420984,0.03154887448247633,-0.02460576769109549,0.03182647738144605
Iranaeus Martyrdom Polycarp,-0.10194381724618615,-0.1333900788211949,-0.1315498563876761,-0.08581354437348948,0.032510212643485824,-0.012388683847036954,-0.04259556771343911,-0.1569327207038884,-0.10464495423498252,-0.07758888196244282,-0.13201876597721404,0.013870253877832254,0.04460588999015797,-0.060655078850853916,0.05129972121015208,0.04608836498573731,0.029371806597765508,0.11504007907161559,-0.14325375390461462,-0.14706004687613614,-0.14833789222785398,0.0005613953340527036,-0.0031572120544506995,0.006084475235592433,-0.005795156130195494,0.030786398508666237,0.07937927001756952,0.022730205314144904,0.06613193363155832,1.000000000000001,-0.10252247955967905,0.0021999886384081943,-0.08859700917156582,-0.020914582938291796
Paul A,0.05320817877049107,0.040229056710961074,0.06732636312870438,-0.005467766936875549,0.10676570417580977,-0.01802348012548422,0.1953711308884808,0.2865832339363864,0.10347943032344498,0.13453915104750716,0.07682782928063214,-0.20203150166884462,-0.068379965457135,0.047344479023067154,-0.16508561084948015,-0.20694156751910353,-0.2744998264428057,-0.13740907042445813,-0.07029222823986009,-0.014830188574742748,0.1523702156282594,-0.052312086812890055,-0.16074908190196852,-0.14595470553193898,-0.14397667916160817,-0.13597781422466512,-0.14228968988162408,-0.022866520812688685,-0.10648221396420984,-0.10252247955967905,0.9999999999999981,0.13495429704771092,0.17118259964842666,0.11166544029138796
Ignatius A,0.05585365084009804,0.015959597511395272,0.059838725348406854,-0.04004214315626683,0.03211232828570662,0.019257941059964985,0.09018039168906784,0.04978918961716547,0.11856490894362136,0.05076657906356476,-0.08072392779769919,-0.1382462694775721,-0.06935290708198341,-0.09651115291977166,-0.17572080305267906,-0.3050195274479915,-0.2557248057231541,-0.23062278280820153,-0.043774200809861954,-0.07084968509723047,-0.011010732857624305,-0.07870293937661414,-0.13875244281146706,-0.1252126553020251,-0.14450452001747166,-0.09259971230780427,-0.04010085373379508,0.004986034479253517,0.03154887448247633,0.0021999886384081943,0.13495429704771092,0.9999999999999997,0.3774855894406944,0.4609894849099768
Ignatius B,0.06534931931292969,-0.0002254217242580444,-0.008860214756916623,-0.049679505810178555,0.06175386593022992,-0.0012820000708518272,-0.05159268874916725,0.02893786563517838,0.09303286099175866,0.05095292503087632,-0.02580474585426579,-0.1259348160896662,-0.09501864841183429,-0.059938044553443016,-0.12806746948427136,-0.16220281621028443,-0.08569133445666592,-0.16302600343748674,-0.06801162772101288,-0.031226397417225424,-0.020372802604629606,-0.1443054115267919,-0.08803447717393108,-0.20045854516019382,-0.08435588182915789,-0.13043926983392376,-0.08704993490705955,-0.03299561417705996,-0.02460576769109549,-0.08859700917156582,0.17118259964842666,0.3774855894406944,1.0000000000000007,0.4183110766299906
Ignatius C,0.06869004119291629,-0.01708325831923997,0.03388574142811608,0.0037714846659505086,-0.03641003587159292,0.05021991793807684,0.0024097068594651967,0.012028015613130306,-0.005904676746452588,-0.009362092980045457,0.013640319391184602,-0.09329631964022388,-0.016845860274573916,-0.14415326198521644,-0.15584036996800515,-0.21942915214150477,-0.19299974581960166,-0.22861374356517242,-0.02584677684408293,-0.019734215840416906,-0.012973238214388064,-0.11859083313784442,-0.0972604177082108,-0.15018351031427588,-0.11636187644675275,-0.16741706037486934,-0.056952644842879596,-0.048340730055635606,0.03182647738144605,-0.020914582938291796,0.11166544029138796,0.4609894849099768,0.4183110766299906,0.9999999999999983
