,1 Corinthians A,1 Corinthians B,1 Corinthians C,1 John,1 Peter,1 Timothy,2 Corinthians A,2 Corinthians B,Colossians,Ephesians,Galatians,Hebrews A,Hebrews B,James,Revelation A,Revelation B,Revelation C,Revelation D,Romans A,Romans B,Romans C,Paul A
1 Corinthians A,0.9999999999999993,0.1409280649609059,0.0897209093740668,0.07041115476258879,-0.08289089163748707,-0.1296487809799186,-0.006699244009056168,0.03284546241925706,0.023612295724341408,-0.03306247711144077,0.06825768308395536,-0.09012086821090659,-0.18355747295961017,-0.029821969021837234,-0.15401278470049434,-0.18998909318907375,-0.22654466247850574,-0.11978375996216672,-0.022308491021172196,0.003370387097253888,-0.08434516860566947,0.10456949028829378
1 Corinthians B,0.1409280649609059,0.9999999999999993,0.13584727963367954,0.060581917797469104,-0.20011352276639438,-0.07139422265953464,-0.024017424000784004,0.09984760427447784,-0.12435384292366657,-0.16567430468798697,0.007052124533680579,-0.09746708179489288,-0.08325785911424807,-0.017016500018942043,-0.15333578369828718,-0.18480014853281995,-0.15380050027612746,-0.09637329425371363,-0.056013570429575325,0.04945219355418157,-0.0007627306835037926,0.044055410070308415
1 Corinthians C,0.0897209093740668,0.13584727963367954,0.9999999999999994,-0.07836953210358764,-0.14853914963006357,-0.05900180704196381,-0.04323384322159277,0.03198481694191739,-0.10145436323206408,-0.07262600478829803,-0.005030238873916761,-0.14367939692451862,-0.09652629127111607,0.028738761750787635,-0.07546606230401301,-0.12158156470509454,-0.15915981770750384,-0.09053804020710503,-0.05334181851530241,0.04927113976620672,-0.03846308687745429,-0.004099894230348802
1 John,0.07041115476258879,0.060581917797469104,-0.07836953210358764,0.9999999999999986,-0.09673733965135511,-0.16223935247304924,-0.00020335454219337358,-0.07422292593309503,-0.031916118258802896,-0.08457282636050993,-0.048099146658499604,0.036185026294047476,-0.11391760641958026,0.07549122410716054,-0.09356288568293337,-0.13886806796604695,-0.08652852101027309,-0.051241942897511585,-0.04671843518076436,-0.028169406032910595,-0.06636694738909533,-0.10285778135551195
1 Peter,-0.08289089163748707,-0.20011352276639438,-0.14853914963006357,-0.09673733965135511,1.0000000000000002,0.013110082695772138,0.04172978628479488,-0.054535983468977145,0.045948607587603975,0.05947440795585951,-0.06164799794823544,0.0399543683924108,0.02548854295501096,-0.002875562810868068,-0.10793463957285954,-0.0708320651913514,-0.08876183191416846,-0.0828235857700429,-0.02730474505505236,-0.13655169459993993,-0.09055927023184279,-0.05368349364714107
1 Timothy,-0.1296487809799186,-0.07139422265953464,-0.05900180704196381,-0.16223935247304924,0.013110082695772138,0.9999999999999998,-0.0734363597638509,-0.06075025823100709,-0.08683225883058568,-0.08332444447104013,-0.16311775341525034,-0.04494862731786178,0.02144749869380716,-0.06613329125355473,0.01447786336311822,-0.00430298713264984,-0.03919288514717994,-0.07215025317155419,0.009557692538850566,-0.10854136377084539,-0.031629705275597615,-0.0275553374293372
2 Corinthians A,-0.006699244009056168,-0.024017424000784004,-0.04323384322159277,-0.00020335454219337358,0.04172978628479488,-0.0734363597638509,1.0000000000000002,0.10795404882127173,-0.022562934992048644,0.010291082183022694,-0.05173976381263231,-0.06093963693254303,-0.0880774026124977,-0.08196583724745421,-0.15788734775602836,-0.18772924508125624,-0.2105325444209074,-0.19454661112647234,-0.005239887803637861,-0.02112089633262179,-0.007587530385730251,0.06150524942096519
2 Corinthians B,0.03284546241925706,0.09984760427447784,0.03198481694191739,-0.07422292593309503,-0.054535983468977145,-0.06075025823100709,0.10795404882127173,0.9999999999999998,-0.05543542712267211,-0.088965612242655,-0.0021196183487877255,-0.04582830711210468,-0.08655546807986078,-0.09547033632407297,-0.11737415925200076,-0.21947622993393529,-0.20855707708284826,-0.12590740949548326,-0.11214927813222011,-0.02385421130028684,-0.01656295414977559,0.13140708544186006
Colossians,0.023612295724341408,-0.12435384292366657,-0.10145436323206408,-0.031916118258802896,0.045948607587603975,-0.08683225883058568,-0.022562934992048644,-0.05543542712267211,0.9999999999999999,0.3702057510349322,0.05269684470167588,-0.1735346608081206,-0.02779701099141678,-0.0807129538292849,-0.05227691700278933,-0.18795533343371315,-0.16453404767475993,-0.16715851810554821,-0.10748191511126384,-0.09614593792942824,0.00013276240193208275,0.05135212299252997
Ephesians,-0.03306247711144077,-0.16567430468798697,-0.07262600478829803,-0.08457282636050993,0.05947440795585951,-0.08332444447104013,0.010291082183022694,-0.088965612242655,0.3702057510349322,0.9999999999999997,-0.048388896033049425,-0.10570164810227266,-0.006307251631601313,-0.06563264280788,-0.15441278892845312,-0.11283067497011263,-0.09041204351043522,-0.09078296539203101,-0.03691436651361841,-0.08470067389039958,0.02326300760691806,-0.01809207643659685
Galatians,0.06825768308395536,0.007052124533680579,-0.005030238873916761,-0.048099146658499604,-0.06164799794823544,-0.16311775341525034,-0.05173976381263231,-0.0021196183487877255,0.05269684470167588,-0.048388896033049425,0.9999999999999994,-0.08814368551981165,-0.06247216105318364,-0.0598243935021641,-0.11072928455866206,-0.1092698976107685,-0.15343064268528075,-0.12861483397921675,0.011975963536339057,0.06133509397078317,-0.03370098788279026,0.09647833664373177
Hebrews A,-0.09012086821090659,-0.09746708179489288,-0.14367939692451862,0.036185026294047476,0.0399543683924108,-0.04494862731786178,-0.06093963693254303,-0.04582830711210468,-0.1735346608081206,-0.10570164810227266,-0.08814368551981165,0.9999999999999997,0.21274911790594098,0.020338362858122672,-0.0376966747614832,-0.04303412655618772,-0.025929325333201587,-0.02496675906961647,-0.04135164468741882,-0.09424108666473338,-0.11571530651978502,-0.0992694271844229
Hebrews B,-0.18355747295961017,-0.08325785911424807,-0.09652629127111607,-0.11391760641958026,0.02548854295501096,0.02144749869380716,-0.0880774026124977,-0.08655546807986078,-0.02779701099141678,-0.006307251631601313,-0.06247216105318364,0.21274911790594098,1.0,-0.065078150476598,-0.13934660080975292,0.01248306751932354,0.003727049773324446,-0.07259664492055022,-0.08847441066993685,-0.1102155466420523,-0.07396708861293798,-0.02755669488739991
James,-0.029821969021837234,-0.017016500018942043,0.028738761750787635,0.07549122410716054,-0.002875562810868068,-0.06613329125355473,-0.08196583724745421,-0.09547033632407297,-0.0807129538292849,-0.06563264280788,-0.0598243935021641,0.020338362858122672,-0.065078150476598,0.9999999999999994,-0.11769317101224173,-0.061079518242852765,-0.09605322822755717,-0.08153657162978827,-0.07348350151567257,-0.017054397388106133,-0.052204433963679256,-0.09821767598981662
Revelation A,-0.15401278470049434,-0.15333578369828718,-0.07546606230401301,-0.09356288568293337,-0.10793463957285954,0.01447786336311822,-0.15788734775602836,-0.11737415925200076,-0.05227691700278933,-0.15441278892845312,-0.11072928455866206,-0.0376966747614832,-0.13934660080975292,-0.11769317101224173,0.9999999999999994,0.21465916643963107,0.258353208198292,0.2245538808324335,-0.10264832548849327,-0.0975258701149867,-0.041217284988240684,-0.16101864773922536
Revelation B,-0.18998909318907375,-0.18480014853281995,-0.12158156470509454,-0.13886806796604695,-0.0708320651913514,-0.00430298713264984,-0.18772924508125624,-0.21947622993393529,-0.18795533343371315,-0.11283067497011263,-0.1092698976107685,-0.04303412655618772,0.01248306751932354,-0.061079518242852765,0.21465916643963107,0.9999999999999993,0.44122547093161923,0.3035977778997532,0.004352634310642078,-0.11710410156742396,-0.08995353674760297,-0.2619066724738465
Revelation C,-0.22654466247850574,-0.15380050027612746,-0.15915981770750384,-0.08652852101027309,-0.08876183191416846,-0.03919288514717994,-0.2105325444209074,-0.20855707708284826,-0.16453404767475993,-0.09041204351043522,-0.15343064268528075,-0.025929325333201587,0.003727049773324446,-0.09605322822755717,0.258353208198292,0.44122547093161923,0.9999999999999999,0.3442213130843081,-0.04817012494043726,-0.07660515293127124,-0.08518207682561381,-0.28003458285615207
Revelation D,-0.11978375996216672,-0.09637329425371363,-0.09053804020710503,-0.051241942897511585,-0.0828235857700429,-0.07215025317155419,-0.19454661112647234,-0.12590740949548326,-0.16715851810554821,-0.09078296539203101,-0.12861483397921675,-0.02496675906961647,-0.07259664492055022,-0.08153657162978827,0.2245538808324335,0.3035977778997532,0.3442213130843081,0.9999999999999998,-0.11782563507334709,-0.054228207214861615,-0.11494834564275733,-0.23745842841757972
Romans A,-0.022308491021172196,-0.056013570429575325,-0.05334181851530241,-0.04671843518076436,-0.02730474505505236,0.009557692538850566,-0.005239887803637861,-0.11214927813222011,-0.10748191511126384,-0.03691436651361841,0.011975963536339057,-0.04135164468741882,-0.08847441066993685,-0.07348350151567257,-0.10264832548849327,0.004352634310642078,-0.04817012494043726,-0.11782563507334709,1.0,0.0538120326386917,-0.027264049916182285,-0.03399751222161666
Romans B,0.003370387097253888,0.04945219355418157,0.04927113976620672,-0.028169406032910595,-0.13655169459993993,-0.10854136377084539,-0.02112089633262179,-0.02385421130028684,-0.09614593792942824,-0.08470067389039958,0.06133509397078317,-0.09424108666473338,-0.1102155466420523,-0.017054397388106133,-0.0975258701149867,-0.11710410156742396,-0.07660515293127124,-0.054228207214861615,0.0538120326386917,0.9999999999999992,-0.0457121620582453,0.011228613337734865
Romans C,-0.08434516860566947,-0.0007627306835037926,-0.03846308687745429,-0.06636694738909533,-0.09055927023184279,-0.031629705275597615,-0.007587530385730251,-0.01656295414977559,0.00013276240193208275,0.02326300760691806,-0.03370098788279026,-0.11571530651978502,-0.07396708861293798,-0.052204433963679256,-0.041217284988240684,-0.08995353674760297,-0.08518207682561381,-0.11494834564275733,-0.027264049916182285,-0.0457121620582453,0.9999999999999994,0.07284590335879909
Paul A,0.10456949028829378,0.044055410070308415,-0.004099894230348802,-0.10285778135551195,-0.05368349364714107,-0.0275553374293372,0.06150524942096519,0.13140708544186006,0.05135212299252997,-0.01809207643659685,0.09647833664373177,-0.0992694271844229,-0.02755669488739991,-0.09821767598981662,-0.16101864773922536,-0.2619066724738465,-0.28003458285615207,-0.23745842841757972,-0.03399751222161666,0.011228613337734865,0.07284590335879909,1.0000000000000002
